hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
15,3.5178312256742785,24.53366846245054,,359.35935371040995,587.0303782113914,0.09166666666666666,0.009900990099009901,192.96311877390022,0.21518987341772153,0.02531645569620253,43
16,2.6977544845962433,29.523964338363772,135.57690996820747,484.27783990988365,691.472062646108,0.12727272727272726,0.0,204.90899644632538,0.21476510067114093,0.04697986577181208,43
17,2.0296871460932326,36.94671671278606,,466.12117016764813,710.3372523781726,0.07936507936507936,0.0,222.44463006464977,0.2545454545454545,0.05454545454545454,43
18,2.9468723737579112,71.83281234264025,75.2115741548796,512.9577702004196,869.1135342394658,0.09836065573770492,0.0,232.56812522748334,0.2926829268292683,0.042682926829268296,43
19,2.24322062438633,85.16587365945223,158.58596405183653,568.80056339078,851.6689143268482,0.07207207207207207,0.0,296.136091525942,0.3262411347517731,0.0851063829787234,43
20,0.47024986083318293,97.47368511206734,,592.5370539767633,869.6463308642685,0.11764705882352941,0.0,315.5470471242841,0.3804347826086957,0.07608695652173914,43
21,0.8927908332664513,115.94903510036605,,556.9692108464267,700.7616017413446,0.036585365853658534,0.0,334.207726112525,0.46808510638297873,0.09574468085106383,43
22,3.334503967504002,166.2742486273169,,740.036666936121,990.9122134566131,0.21666666666666667,0.0,360.12171385991775,0.4342105263157895,0.06578947368421052,43
23,0.4938307135344489,129.35548878107946,,654.4098297261592,791.9172714574212,0.058823529411764705,0.0,295.6143671244573,0.3484848484848485,0.045454545454545456,43
0,1.1224017815190137,138.40960837742173,58.40775212549079,916.2860259464638,987.4545895391406,0.10810810810810811,0.0,446.230745234043,0.5306122448979592,0.22448979591836735,44
1,0.08546201229220667,208.99006376879157,,904.8535402397498,1009.2677982451238,0.0,0.0,475.4657228388266,0.7222222222222222,0.2222222222222222,44
2,1.9348844159788876,119.3451145206786,,909.002831946311,1002.0956106401967,0.09090909090909091,0.0,388.98091521301393,0.5,0.21052631578947367,44
3,0.37329788355166005,79.46354862624779,,818.3813331737534,754.1717978021452,0.043478260869565216,0.0,350.2789947760971,0.4,0.11428571428571428,44
4,0.7206182531772924,62.55281385582386,,861.3659020608202,837.1484494540546,0.0,0.0,298.24376042419453,0.4583333333333333,0.08333333333333333,44
5,0.11296348999844814,80.70843434199153,,605.0135679280702,801.0553246646523,0.17391304347826086,0.0,244.66596273345957,0.3225806451612903,0.06451612903225806,44
6,0.4187289108508594,38.88111133421967,,637.9731579809568,816.9509596180728,0.10526315789473684,0.0,239.44166186083933,0.2857142857142857,0.10714285714285714,44
7,0.13424960765076174,21.983790216715203,,651.6910807252947,,0.1,0.1111111111111111,195.69201412501542,0.2702702702702703,0.05405405405405406,44
8,1.7350591025386812,11.3807747364074,,618.6912972206883,700.4510170892888,0.22727272727272727,0.2777777777777778,196.44042236447285,0.203125,0.109375,44
9,2.394657080102755,10.338686127381813,,586.0563003369721,731.2012954729885,0.06451612903225806,0.0684931506849315,223.72634564341746,0.234375,0.0703125,44
10,10.176454795699541,17.162833841935118,,557.4270610794449,860.814329152835,0.061224489795918366,0.04938271604938271,199.2228640203861,0.20588235294117646,0.08088235294117647,44
11,9.826884062556786,15.895776139409273,,535.5551649009758,744.8758045854138,0.14285714285714285,0.11428571428571428,188.4450264062692,0.1568627450980392,0.058823529411764705,44
12,8.444530284563932,20.941448153856243,86.46050185509284,512.7216507754501,906.5653558537582,0.13740458015267176,0.05504587155963303,243.30717070696727,0.29651162790697677,0.046511627906976744,44
13,5.810379289510921,18.26983871414196,51.38778788778882,633.1051652805761,906.6875654554748,0.09774436090225563,0.01818181818181818,236.1073896505203,0.27058823529411763,0.08823529411764706,44
14,3.6570463829776614,20.64825503055867,,663.9592496016975,983.4451755425683,0.12745098039215685,0.04878048780487805,215.93407790821743,0.19594594594594594,0.060810810810810814,44
15,4.154115336492009,18.387807001051446,,705.2343013041258,1046.7877499171075,0.09009009009009009,0.021505376344086023,203.15875297006158,0.21768707482993196,0.06802721088435375,44
16,3.7280879626757755,18.953119215635493,46.64112069545445,694.0716499025175,938.47091157624,0.10909090909090909,0.0,244.87205240819122,0.2,0.10714285714285714,44
17,3.2428423779771025,33.57924747038827,136.5162866501778,790.0438874031111,991.4666909115089,0.08256880733944955,0.0,288.6825272276121,0.25170068027210885,0.16326530612244897,44
18,1.000559662403655,32.31420427402023,,827.2128326798219,1050.6136148157539,0.0673076923076923,0.0,213.47207955922028,0.17164179104477612,0.08955223880597014,44
19,1.463898771936246,52.982223728472114,,887.6769930516209,1005.4651225921576,0.1,0.0,276.9115378211463,0.25757575757575757,0.10606060606060606,44
20,1.0970965917865911,71.25585640968617,,1031.1048074298917,1257.1753132031333,0.11009174311926606,0.0,246.91456896615406,0.19858156028368795,0.07801418439716312,44
21,0.9734711444729387,103.80949361107557,248.77813220180542,1000.9571046458319,1191.573391644444,0.0963855421686747,0.0,334.03764141564494,0.3364485981308411,0.12149532710280374,44
22,4.467219861464,110.23270968878943,,1037.160060630292,994.5208117929774,0.10344827586206896,0.0,316.42701980417655,0.41333333333333333,0.08,44
23,1.597395953150619,152.22757870700835,,984.4363704203764,,0.061224489795918366,0.0,346.1505462855392,0.4915254237288136,0.06779661016949153,44
0,1.1170162037193336,199.74100635205647,,1617.963784016693,1679.15246708327,0.0,0.0,635.7598548499499,0.675,0.2,45
1,0.5416839671292926,159.1894758914619,,1850.2757849336137,2276.9073849892848,0.09090909090909091,0.0,452.1533218401449,0.4489795918367347,0.10204081632653061,45
2,0.8168509339558458,159.5829655834812,,1927.8086716093576,2089.278443551775,0.13636363636363635,0.0,410.5821056845913,0.5517241379310345,0.06896551724137931,45
3,0.1944368543118716,101.47093088715452,,1711.6494718785082,1879.0604701872653,0.06666666666666667,0.0,560.315525164106,0.48484848484848486,0.15151515151515152,45
4,0.37245705407922614,99.4344773993738,,897.5340556259152,1064.3419881084624,0.17391304347826086,0.0,257.54692606460094,0.25,0.03571428571428571,45
5,0.291274591182912,81.88316101962094,,1521.7836082632778,1714.1962756577589,0.2692307692307692,0.0,598.1828630393952,0.40625,0.1875,45
6,1.4599702137619637,51.01314818113805,,1321.327793948736,1617.910880565651,0.2222222222222222,0.07142857142857142,422.1292025359868,0.2608695652173913,0.13043478260869565,45
7,0.18234509671128762,34.199516405018166,,1582.0274052118941,1974.3077216418342,0.14285714285714285,0.13333333333333333,361.4281932875785,0.23809523809523808,0.14285714285714285,45
8,2.8784286590231596,17.916935063122715,111.08499296325044,1419.3592400473367,1619.2831494058837,0.017543859649122806,0.02127659574468085,350.58552304249815,0.21951219512195122,0.12195121951219512,45
9,1.7655635127574594,23.33039979042149,,1523.565831509137,1814.1317474447555,0.11458333333333333,0.13253012048192772,258.2781254524027,0.20491803278688525,0.06557377049180328,45
