day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Sat,1.2022146844197164,60.238657055244744,93.22986813600392,113.60905006893793,333.85829345142076,0.10407239819004525,0.02072538860103627,213.55182726637247,0.3242320819112628,0.023890784982935155,15
Sun,3.34367269581552,20.55573046267414,,172.10488949993237,466.4419973241502,0.0846774193548387,0.051643192488262914,181.3529914844855,0.1974921630094044,0.05642633228840126,15
Thu,4.928750222898995,58.134939733253056,100.03338539896231,297.815202523026,442.0176135261095,0.10465116279069768,0.01932367149758454,235.61486530649992,0.38972809667673713,0.01812688821752266,15
Tue,12.825526603824846,125.0976961086938,125.92254450431756,55.12351991709389,191.52919561652092,0.07931034482758621,0.027777777777777776,232.8310453200354,0.3521505376344086,0.008064516129032258,15
Wed,4.5114890091844835,51.059227534143815,117.89792168610416,190.27068646357822,368.8728065276007,0.09191176470588236,0.017391304347826087,193.8424139410242,0.3128654970760234,0.005847953216374269,15
Fri,2.2957315417263486,32.32547358930024,94.19824680744568,1175.7685991151195,1373.8224282468054,0.1349206349206349,0.018691588785046728,355.98750923612624,0.2932098765432099,0.12962962962962962,16
Mon,6.375867290839802,26.841560643721,,905.3784012682066,980.9997028599537,0.09863945578231292,0.05371900826446281,126.8857700068245,0.06684491978609626,0.0053475935828877,16
Sat,2.2026710970778107,10.195953034077162,78.9005474590058,1306.308058875875,1633.9294842677323,0.07860262008733625,0.02127659574468085,457.50146413802463,0.23426573426573427,0.15384615384615385,16
Sun,2.802587991776757,12.14512578369588,71.36437683917211,1250.7192496847265,1610.8411776644941,0.10666666666666667,0.042105263157894736,211.3470946776013,0.1644295302013423,0.050335570469798654,16
Thu,6.956843614087431,54.98037130207119,,1132.207369693191,1343.765274586724,0.09523809523809523,0.01762114537444934,335.6909043151822,0.2916666666666667,0.1361111111111111,16
Tue,7.45492628361148,55.58826253211691,33.96063189166807,780.45153210031,965.8897135399715,0.099644128113879,0.03167420814479638,308.1104091403213,0.3664772727272727,0.11647727272727272,16
Wed,4.061932055719226,45.44471660538528,,1070.206485087118,1324.037345844807,0.07924528301886792,0.017857142857142856,284.61285929455926,0.27696793002915454,0.119533527696793,16
Fri,2.615345484622703,19.966044129043237,155.633735728572,1480.3752898232385,1749.2090789224635,0.12272727272727273,0.02185792349726776,343.97741418407014,0.2138364779874214,0.1289308176100629,17
Mon,8.345486362226975,41.34560151594454,,1056.6387470006518,,0.1206896551724138,0.053061224489795916,137.42682584199682,0.08157894736842106,0.007894736842105263,17
Sat,2.835634687119449,10.83180019907966,138.61177702685745,1520.3061106685195,1782.1343556262457,0.10043668122270742,0.02072538860103627,366.69105893288827,0.2591362126245847,0.12624584717607973,17
